目标词,匹配词,相似度,是否匹配
周末,4,0.889,TRUE
舒服,5,0.922,TRUE
春天,3,0.934,TRUE
治愈,5,0.618,FALSE
宝藏,5,1,TRUE
赏春地,3,0.862,TRUE
值得,5,0.606,FALSE
赏花,4,0.689,FALSE
花船,2,0.883,TRUE
花坞,3,0.843,TRUE
春日活动,4,0.668,FALSE
装饰,3,0.823,TRUE
拍照氛围,5,0.891,TRUE
梦呓花船,4,0.858,TRUE
沪上,3,0.809,TRUE
梦幻,5,0.801,TRUE
水岸花坞,2,0.881,TRUE
樱花装置,2,0.93,TRUE
可爱,5,0.929,TRUE
花瀑布,3,0.882,TRUE
惊艳,5,0.855,TRUE
唯美,5,0.93,TRUE
樱花径,3,0.891,TRUE
浪漫,5,0.876,TRUE
步道,2,0.882,TRUE
涵春鸟亭,2,0.827,TRUE
老街烟火气,5,0.801,TRUE
花街,3,0.954,TRUE
春日意境,5,0.96,TRUE
下午,5,0.801,TRUE
阳光柔和,5,0.831,TRUE
不晒,5,0.648,FALSE
出片,5,0.874,TRUE
文化唤醒,3,0.895,TRUE
风景,3,1,TRUE
猪蹄,3,0.905,TRUE
烤肠,3,0.853,TRUE
餐饮,2,0.818,TRUE
中餐,3,0.766,TRUE
西餐,3,0.782,TRUE
简餐,2,0.77,TRUE
古韵,4,0.95,TRUE
现代诗画意境,5,0.825,TRUE
摄影师,4,0.794,TRUE
沿湖亭台楼阁,3,0.807,TRUE
相互借景,3,0.767,TRUE
重重透视,5,0.828,TRUE
青黑褐,3,0.764,TRUE
不施粉黛,5,0.903,TRUE
质雅朴素,5,0.807,TRUE
公区植物,3,0.722,TRUE
常绿,3,0.573,FALSE
各色鲜花,3,0.892,TRUE
春天气息,5,0.876,TRUE
公园商业,2,0.624,FALSE
古镇文旅,3,0.909,TRUE
国际街区,2,0.79,TRUE
美好时间,5,0.844,TRUE
美丽,5,0.894,TRUE
美图,5,0.85,TRUE
愉悦,5,0.866,TRUE
全面,5,0.826,TRUE
体验值,5,0.627,FALSE
城中村,3,0.911,TRUE
古镇改造,5,0.91,TRUE
乐趣游览,4,0.771,TRUE
自然随意,5,0.825,TRUE
城市漫步citywalk,4,0.743,TRUE
商家导视系统,2,0.519,FALSE
品牌曝光,5,0.745,TRUE
消费欲望,5,0.613,FALSE
UrbanRetreat城市微度假,5,0.758,TRUE
开放式街区,2,0.807,TRUE
公园,2,0.672,FALSE
彩虹,3,0.765,TRUE
坠值得逛,5,0.74,TRUE
拍照氛围感,5,0.854,TRUE
出片点位,4,0.893,TRUE
沪上独一份,3,0.752,TRUE
巨型樱花装置,3,0.8,TRUE
水岸花瀑布,3,0.865,TRUE
原始现场原址,3,0.727,TRUE
木吉他箱体,2,0.531,FALSE
空间原型,2,0.624,FALSE
正圆形空间,2,0.651,FALSE
混凝土柱,3,0.697,FALSE
视觉整体性,3,0.848,TRUE
圆与矩形,3,0.629,FALSE
内切角空间,2,0.739,TRUE
灰空间区域,2,0.612,FALSE
外摆区域,2,0.796,TRUE
沿街人流,5,0.891,TRUE
驻足观赏,4,0.832,TRUE
吉他箱体内部,2,0.463,FALSE
木制吉他身形状,2,0.386,FALSE
立面中央,3,0.86,TRUE
入口视觉统一性,2,0.659,FALSE
空隙空间,2,0.641,FALSE
过渡区,2,0.69,FALSE
户外座椅区,2,0.66,FALSE
吸引路人,5,0.751,TRUE
开窗尺寸,2,0.475,FALSE
店铺内部,2,0.63,FALSE
挑高空间,2,0.683,FALSE
环形演出剧场,2,0.859,TRUE
混响时间,2,0.693,FALSE
音孔,3,0.792,TRUE
室内演出声音,2,0.665,FALSE
街上的行人,5,0.829,TRUE
窗洞,3,0.708,FALSE
视觉效果,5,0.763,TRUE
不同高度吧台,2,0.702,FALSE
饮酒区,2,0.797,TRUE
内部采光,2,0.811,TRUE
阳光引入室内,2,0.73,TRUE
圆形布局,2,0.675,FALSE
双层区域,2,0.629,FALSE
表演剧场,2,0.891,TRUE
声学性能,2,0.651,FALSE
窗户开口,2,0.648,FALSE
弦类乐器,3,0.572,FALSE
琴弦振动,4,0.601,FALSE
机械力量,4,0.762,TRUE
演奏者,4,0.736,TRUE
弓和弦,2,0.654,FALSE
张力,5,0.903,TRUE
建构美感,3,0.852,TRUE
张弦主题,3,0.702,FALSE
三角张弦木梁体系,3,0.705,FALSE
下弦柔性索,2,0.858,TRUE
停车位充足,2,0.767,TRUE
价格也不贵,5,0.743,TRUE
东西别出心裁,5,0.808,TRUE
饮品店很多,2,0.563,FALSE
店铺都很干净,5,0.505,FALSE
菜很新鲜,5,0.661,FALSE
现杀,3,0.83,TRUE
现炒现做,3,0.857,TRUE
打卡送豆花好吃,3,0.692,FALSE
拍照打卡景点很多,4,0.736,TRUE
庭院休息,2,0.665,FALSE
开雾冰,3,0.782,TRUE
蟠龙庙舒胜,2,0.801,TRUE
市集,2,0.874,TRUE
氛围,5,0.753,TRUE
春日限定,5,0.945,TRUE
美景,5,0.879,TRUE
体验感,5,0.796,TRUE
繁花,3,0.929,TRUE
小船,2,0.926,TRUE
主河道,3,0.947,TRUE
樱花,3,0.93,TRUE
拍照,4,0.928,TRUE
映月桥,3,0.93,TRUE
樱花装饰,3,0.894,TRUE
亮灯,3,0.937,TRUE
南市花街,2,0.819,TRUE
彩色巨型花瓣,3,0.827,TRUE
商业街,2,0.841,TRUE
花鸟鱼市,2,0.842,TRUE
小摊点,2,0.84,TRUE
程祠草坪,2,0.737,TRUE
花香鸟语,3,0.884,TRUE
涵春广场,2,0.828,TRUE
春日牧场,3,0.721,TRUE
亲子游,4,0.725,TRUE
蓝调,5,0.919,TRUE
盛花期,3,0.912,TRUE
活力,5,0.839,TRUE
温婉,5,1,TRUE
绝佳去处,5,0.847,TRUE
东方石拱桥,3,0.918,TRUE
西方廊桥,3,0.924,TRUE
氛围感,5,0.76,TRUE
程家祠堂,3,0.952,TRUE
古镇历史,3,0.943,TRUE
十年记,5,0.863,TRUE
古风集市,3,0.876,TRUE
复古游戏,3,0.774,TRUE
溪桥应泊,3,0.945,TRUE
特色商业街,2,0.857,TRUE
粉墙黛瓦,3,1,TRUE
诗意盎然,5,0.844,TRUE
贵州创意菜,3,0.798,TRUE
景观位,2,0.783,TRUE
江南水乡美景,3,0.911,TRUE
红酸汤鱼,3,0.854,TRUE
牛肉汤汁,3,0.803,TRUE
酸辣开胃,3,0.763,TRUE
鲜嫩,3,0.863,TRUE
怪噜饭,3,0.927,TRUE
口感丰富,3,0.916,TRUE
味道独特,3,0.875,TRUE
芝麻冰淇淋,3,0.71,FALSE
香甜,3,1,TRUE
丝滑,5,0.868,TRUE
自然葡萄酒,3,0.863,TRUE
精酿啤酒,2,0.792,TRUE
复古氛围,5,0.834,TRUE
落日余晖,3,0.93,TRUE
灯光夜景,3,0.977,TRUE
传统手工艺品摊位,2,0.777,TRUE
花鸟鱼虫市场,2,0.668,FALSE
宠物友好型,2,0.564,FALSE
假日,5,0.804,TRUE
全金属材质,2,0.505,FALSE
风光黄金焦段,3,0.742,TRUE
无变形,5,0.763,TRUE
接片,4,0.775,TRUE
星空摄影,4,0.632,FALSE
婚礼室内人像,2,0.774,TRUE
快,5,0.923,TRUE
不跑焦,5,0.876,TRUE
综合画质,5,0.821,TRUE
紧实,3,0.873,TRUE
不易误操作,5,0.694,FALSE
结实耐用,2,0.711,FALSE
边缘画质,5,0.789,TRUE
紫边小,3,0.625,FALSE
畸变控制好,5,0.687,FALSE
烟雨长廊,3,0.867,TRUE
功力深厚,5,0.798,TRUE
对比,5,0.709,FALSE
汗颜,5,0.77,TRUE
石拱桥,3,0.96,TRUE
小渡船,2,0.931,TRUE
咖啡,2,0.91,TRUE
奶茶铺,2,0.847,TRUE
安徽菜,3,0.771,TRUE
皖荟餐厅,2,0.743,TRUE
徽菜,3,0.92,TRUE
黄山臭鱖鱼,3,0.964,TRUE
蒙城烤烧饼,3,0.831,TRUE
重口味,3,0.894,TRUE
不夸张变形,5,0.711,FALSE
提升综合画质,5,0.74,TRUE
注册功能,2,0.505,FALSE
全金属材质结实耐用,2,0.412,FALSE
古镇文化,3,0.904,TRUE
3公里天然水系,3,0.764,TRUE
23万平米公园绿地,2,0.494,FALSE
Culture文化唤醒,3,0.939,TRUE
Nature自然融合,3,0.754,TRUE
设计家居,2,0.693,FALSE
户外生活美学零售,2,0.712,FALSE
情调美食,3,0.892,TRUE
商贸,3,0.833,TRUE
设计,2,0.709,FALSE
自然走势,3,0.839,TRUE
活动尺度,4,0.547,FALSE
悖时,5,0.811,TRUE
先锋,2,0.843,TRUE
趋势,5,0.718,FALSE
古镇保护,3,0.837,TRUE
商业开发,5,0.814,TRUE
公共绿地,2,0.626,FALSE
水乡古镇,3,0.831,TRUE
商业空间,2,0.657,FALSE
居住区,2,0.926,TRUE
隋朝,3,0.897,TRUE
江南,3,0.952,TRUE
富庶水乡,3,0.809,TRUE
帅气德文,5,0.566,FALSE
啾啾,5,0.953,TRUE
春日,3,0.901,TRUE
人潮,5,0.922,TRUE
新年,5,0.749,TRUE
气氛,5,0.88,TRUE
灯火,3,0.915,TRUE
从容,5,1,TRUE
感恩,5,0.839,TRUE
好运,5,0.829,TRUE
休闲,2,0.854,TRUE
遛狗,4,0.606,FALSE
喝茶,2,0.946,TRUE
好去处,5,0.913,TRUE
新中式,3,0.83,TRUE
浅色系,3,1,TRUE
夜景灯光,3,0.984,TRUE
山水与科技特展,3,0.624,FALSE
萌宠乐园,2,0.868,TRUE
狗狗社交场,2,0.553,FALSE
超大草坪,2,0.608,FALSE
宠物饮水机,2,0.578,FALSE
极简风,3,0.957,TRUE
拿铁,2,0.64,FALSE
华夫饼,3,0.957,TRUE
ins风大片,5,0.85,TRUE
平成屋,2,0.887,TRUE
日式烧鸟,3,0.778,TRUE
灯笼墙,3,0.882,TRUE
榻榻米,2,0.729,TRUE
提灯,4,1,TRUE
明太子西葫芦,3,0.944,TRUE
菽水小馆,2,0.877,TRUE
素食主义,3,0.617,FALSE
禅意庭院风,3,0.746,TRUE
菌菇汤面,3,0.795,TRUE
弗兰克西餐厅,2,0.675,FALSE
花园Brunch,2,0.865,TRUE
河景,3,0.975,TRUE
猫的天空之城,3,0.731,TRUE
限定蟠龙明信片,3,0.788,TRUE
木墨,3,0.841,TRUE
手工木质家居,2,0.751,TRUE
香薰蜡烛,2,0.831,TRUE
江南百景图POP-UP,3,0.879,TRUE
布兰兔,2,0.872,TRUE
少女心爆棚,5,0.763,TRUE
伴手礼,3,0.838,TRUE
屋檐,3,0.83,TRUE
雨,3,0.902,TRUE
游船,4,0.913,TRUE
窗框,3,0.739,TRUE
涟漪,3,0.903,TRUE
卫生,2,0.655,FALSE
环境,5,0.717,FALSE
工作人员,2,0.752,TRUE
保洁,2,0.772,TRUE
惊喜,5,0.699,FALSE
宝藏盒子,2,0.663,FALSE
历史悠久,3,0.862,TRUE
古建筑,3,1,TRUE
现代,3,0.717,FALSE
潮流元素,5,0.702,FALSE
完美融合,5,0.754,TRUE
传统,3,1,TRUE
大都市,5,0.841,TRUE
时尚气息,5,0.826,TRUE
改建出色,5,0.745,TRUE
水清,3,0.891,TRUE
维护用心,5,0.777,TRUE
美食丰富,3,0.798,TRUE
店铺时尚,2,0.609,FALSE
特色菜系,3,0.819,TRUE
环境优美,5,0.749,TRUE
停车方便,2,0.769,TRUE
一招鲜,3,0.955,TRUE
独树一帜,5,0.887,TRUE
改建,2,0.669,FALSE
水,3,1,TRUE
清,3,0.92,TRUE
绿,3,0.593,FALSE
维护,2,0.679,FALSE
美食,3,0.877,TRUE
上海首店,2,0.673,FALSE
区域首店,2,0.797,TRUE
选品优秀,5,0.802,TRUE
停车场,2,0.89,TRUE
免费停车,2,0.688,FALSE
翻新,3,0.763,TRUE
人气,5,0.934,TRUE
石桥,3,0.955,TRUE
牌坊,3,0.944,TRUE
戏台,2,0.933,TRUE
非遗盘扣,3,0.75,TRUE
巨型盘扣龙船,2,0.715,FALSE
蔷薇花,3,0.98,TRUE
河边,3,0.98,TRUE
船来人往,4,0.797,TRUE
惬意时光,5,0.925,TRUE
江南风物季,3,0.896,TRUE
小车,2,0.723,TRUE
秋千,2,1,TRUE
红毯,2,0.649,FALSE
美照,5,0.894,TRUE
人山人海,5,0.727,TRUE
特别漂亮,5,0.822,TRUE
新天地,2,0.925,TRUE
mall,2,0.543,FALSE
历史,3,1,TRUE
新中式江南古镇,3,0.839,TRUE
商圈,2,0.901,TRUE
江南水乡文化,3,0.901,TRUE
古韵蟠龙新十景,3,0.855,TRUE
香花桥影,3,0.928,TRUE
雪竹轩,3,0.916,TRUE
法布尔花园,3,0.673,FALSE
喷泉广场,2,0.737,TRUE
骑乐马术,2,0.789,TRUE
沿河咖啡馆,2,0.795,TRUE
申井冰室,2,0.733,TRUE
今日宜喝茶,5,0.922,TRUE
TEA'STONE,2,0.869,TRUE
宋明客厅,2,0.792,TRUE
潮桔桔,3,0.796,TRUE
西塔老太太,3,0.761,TRUE
苏小柳,3,0.956,TRUE
如一鲍鱼鸡,3,0.754,TRUE
肥汁米兰,3,0.725,TRUE
丰和日丽,5,0.873,TRUE
兰巴赫,2,0.907,TRUE
粉红汉堡,3,0.636,FALSE
人不是特别多,5,0.889,TRUE
天气也很好,5,0.88,TRUE
走走逛逛,4,0.924,TRUE
吃个午餐,5,0.726,TRUE
开了很多店,5,0.631,FALSE
挺有意思,5,0.719,FALSE
居然还有话梅,3,0.902,TRUE
方便,5,0.895,TRUE
湖边,3,0.968,TRUE
吹风,4,0.914,TRUE
麻六记,3,0.897,TRUE
霓裳茶舞,2,0.796,TRUE
鮨椿,3,0.839,TRUE
食材,3,1,TRUE
日料,3,0.693,FALSE
时尚,5,0.876,TRUE
花园,3,0.709,FALSE
商场,2,0.739,TRUE
泰国菜,3,0.68,FALSE
MUMLIKES,5,0.814,TRUE
预制菜,3,0.825,TRUE
服务员,2,0.69,FALSE
小哥哥,4,0.699,FALSE
虾片,3,0.92,TRUE
露台,2,0.837,TRUE
夜景,3,1,TRUE
集市,2,0.856,TRUE
小吃,3,0.869,TRUE
点心,3,0.913,TRUE
饰品,2,0.826,TRUE
马场,2,0.84,TRUE
服务中心,2,0.535,FALSE
漫无目的,5,0.785,TRUE
闲逛,4,0.82,TRUE
moment,5,0.772,TRUE
快乐,5,0.925,TRUE
人太多,5,0.473,FALSE
现代美学,3,0.808,TRUE
白墙黛瓦,3,0.987,TRUE
艺术装置,2,0.876,TRUE
网红店,2,0.766,TRUE
古今碰撞,3,0.719,FALSE
人少景美,5,0.852,TRUE
清净,5,0.958,TRUE
逛吃天堂,5,0.804,TRUE
本地小吃,3,0.869,TRUE
文艺手作店,2,0.732,TRUE
宠友好,2,0.826,TRUE
傍晚灯亮,5,0.877,TRUE
穿越回古代,5,0.867,TRUE
滨河咖啡店,2,0.73,TRUE
中式生活美学,3,0.737,TRUE
老祖宗的优雅,5,0.826,TRUE
年轻人的潮玩,4,0.633,FALSE
明清老宅改建的茶馆,2,0.774,TRUE
青花瓷杯,2,0.779,TRUE
网红咖啡店,2,0.725,TRUE
江南水乡的烟火气,5,0.769,TRUE
非遗工坊,2,0.714,FALSE
蓝印花布,3,0.767,TRUE
蟠龙市集,2,0.866,TRUE
定胜糕,3,0.939,TRUE
马场骑马,4,0.578,FALSE
百年香花桥,3,0.941,TRUE
水幕光影秀,4,0.683,FALSE
古镇剧本杀,4,0.716,FALSE
文化主题乐园,2,0.85,TRUE
千年蟠龙古镇的历史底蕴,3,0.842,TRUE
历史古镇的现代化再生,5,0.856,TRUE
艺术性装置与现代元素,3,0.703,FALSE
江南非遗与市井文化的复兴,3,0.747,TRUE
活动IP新焺集打造,4,0.56,FALSE
夜间文化消费场景,3,0.705,FALSE
小众品牌与首店经济的聚集地,5,0.694,FALSE
原住民与社区记忆的延续,5,0.65,FALSE
美,5,0.954,TRUE
小镇,3,0.922,TRUE
景,3,0.925,TRUE
春和景明,3,1,TRUE
出门溜达,4,0.896,TRUE
逛,4,0.89,TRUE
吃,3,0.806,TRUE
小资小调,5,0.914,TRUE
服装店,2,0.639,FALSE
奶茶店,2,0.792,TRUE
咖啡店,2,0.751,TRUE
西餐厅,2,0.714,FALSE
花鸟市场,2,0.687,FALSE
躺一下午,5,0.657,FALSE
喝喝茶,2,0.947,TRUE
晒晒太阳,4,0.752,TRUE
掏个耳朵,4,0.649,FALSE
聊聊天,4,0.708,FALSE
吃吃饭,5,0.873,TRUE
生活,5,0.773,TRUE
美好,5,0.925,TRUE
乘船,4,0.867,TRUE
小码头,2,0.882,TRUE
热闹,5,0.918,TRUE
宠物巡游展,4,0.52,FALSE
樱花大道,3,0.866,TRUE
主街,2,0.89,TRUE
樱花盛开,3,0.824,TRUE
绿叶,3,0.73,TRUE
桥,3,0.975,TRUE
春意,3,0.898,TRUE
花期,3,0.882,TRUE
景色宜人,5,0.883,TRUE
吃的多,3,0.765,TRUE
惬意,5,1,TRUE
老式建筑,3,0.974,TRUE
空间开阔,2,0.677,FALSE
禅意盆景,3,0.721,TRUE
新式沿河小楼,3,0.759,TRUE
咖啡买一送一,2,0.848,TRUE
樱花季限定活动,4,0.46,FALSE
桥上樱花装置,3,0.759,TRUE
花船水集,2,0.731,TRUE
fafa水集,3,0.832,TRUE
小资生活,5,0.79,TRUE
哈根达斯,3,0.925,TRUE
元古云境,3,0.842,TRUE
皖荟,3,0.894,TRUE
越稽,3,0.913,TRUE
蕉内,3,0.946,TRUE
买手店,2,0.768,TRUE
爱丽丝漫游仙境风瓷器店,2,0.627,FALSE
昆虫&爬行类动物标本店,2,0.623,FALSE
非遗秤砣店,2,0.895,TRUE
自助花店,2,0.691,FALSE
开放式花鸟店,2,0.692,FALSE
软装设计,2,0.781,TRUE
现代都市风格,3,0.757,TRUE
宋代美学,3,0.856,TRUE
马卡龙色灯光,3,0.918,TRUE
烛火照明氛围感,5,0.803,TRUE
入夜美景,3,0.943,TRUE
春风,3,0.879,TRUE
沉浸体验,5,0.79,TRUE
花船巡游,4,0.682,FALSE
水上花瀑,3,0.895,TRUE
3D立体花路,3,0.543,FALSE
水岸,3,0.884,TRUE
鲜花长廊,3,0.877,TRUE
水坞悠游剧场,2,0.742,TRUE
流动花艺展,3,0.765,TRUE
水上灵感市集,2,0.795,TRUE
鲜花,3,0.948,TRUE
手作,4,0.954,TRUE
咖啡香气,5,0.937,TRUE
萌宠社交场,2,0.742,TRUE
鹦鹉互动,4,0.811,TRUE
绵羊牧场,2,0.678,FALSE
蓝调时刻,5,1,TRUE
花船亮灯,4,0.865,TRUE
地铁17号线,2,0.752,TRUE
艺术,3,0.776,TRUE
受众,5,0.773,TRUE
美术馆,2,0.905,TRUE
冷清,5,0.884,TRUE
中秋,3,0.835,TRUE
漂亮,5,0.909,TRUE
神牛,3,0.874,TRUE
圣诞假期,4,0.685,FALSE
第一次,5,0.655,FALSE
拜访,4,0.818,TRUE
小巧,3,0.92,TRUE
圣堂,3,0.884,TRUE
自然融合,3,0.6,FALSE
城市焕新,5,0.822,TRUE
上海前门院,3,0.9,TRUE
江南新天地,3,0.968,TRUE
江南文化,3,0.876,TRUE
水乡古镇商业,5,0.751,TRUE
摩登江南人居范本,3,0.896,TRUE
湖中映月,3,0.753,TRUE
桥边花,3,0.822,TRUE
月夜色,3,0.848,TRUE
格外迷人,5,0.793,TRUE
人流量不大,5,0.837,TRUE
美美的灯会,3,0.895,TRUE
晚上超美,5,0.735,TRUE
烟雨长街,3,0.811,TRUE
北市街,2,0.787,TRUE
戏台广场,2,0.754,TRUE
购物,2,0.633,FALSE
选择超多,5,0.827,TRUE
过年,5,0.811,TRUE
河水,3,0.934,TRUE
小桥,3,1,TRUE
亭台楼阁,3,0.851,TRUE
柳绿花红,3,0.876,TRUE
人群熙攘,5,0.623,FALSE
车水马龙,5,0.785,TRUE
水乡,3,0.89,TRUE
诗人,3,0.932,TRUE
蟠龙,3,0.925,TRUE
雪竹,3,0.943,TRUE
书斋,2,0.922,TRUE
砖瓦,3,0.765,TRUE
书房,2,0.908,TRUE
文人风骨,3,0.933,TRUE
修竹,3,0.959,TRUE
老宅,3,0.772,TRUE
窗,3,0.666,FALSE
竹风,3,0.865,TRUE
四时,3,0.707,FALSE
风雅平常,5,0.844,TRUE
水集,3,0.942,TRUE
真实,5,0.829,TRUE
江南百景图,3,1,TRUE
可玩性,5,0.848,TRUE
仿CC配方,3,0.666,FALSE
清闲,5,0.913,TRUE
漂亮饭,3,0.883,TRUE
夜景散步,4,0.649,FALSE
泗泾人的后花园,5,0.774,TRUE
赏春,4,0.695,FALSE
油菜花田,3,0.94,TRUE
花鸟集市,2,0.841,TRUE
亲子,4,0.831,TRUE
情侣,5,0.902,TRUE
citywalk,4,0.758,TRUE
自驾,4,0.732,TRUE
巨型樱花,3,0.884,TRUE
背景,3,0.731,TRUE
鲜花绿植,3,0.918,TRUE
文创零售,2,0.702,FALSE
非遗体验,3,0.716,FALSE
人像,4,0.682,FALSE
蟠龙历史,3,0.833,TRUE
织造,3,0.863,TRUE
江南织物,3,0.916,TRUE
非物质文化遗产,3,0.787,TRUE
盘扣工艺,3,0.758,TRUE
街巷,3,0.936,TRUE
上海纺织博物馆,2,0.583,FALSE
诗经演天工,3,0.901,TRUE
织物美学,3,0.835,TRUE
文化与消费体验,5,0.658,FALSE
古代江南职业情境互动,4,0.699,FALSE
天选打工人,5,0.598,FALSE
