目标词,匹配词,相似度,是否匹配
吃饱肚子,5+2,0.716,False
存在即合理,5+3,0.64,False
剧场,2+1,0.759,True
小朋友桌椅,2+3,0.319,False
投影,2+3,0.593,False
大人的笑声,5+2,0.902,True
初冬阳光,3+1,0.689,False
祥睦桥,3+2,0.967,True
清明假期,4+1,0.764,True
大娃怪市,3+4,0.624,False
奇趣怪异的商品,2+3,0.616,False
复古风潮流范的穿搭,5+2,0.787,True
微剧本杀,4+1,0.686,False
集章互动游戏,4+1,0.537,False
随机舞蹈,4+1,0.445,False
coser表演,4+1,0.6,False
凤凰里咖啡生活节市集,2+1,0.566,False
手作达人,4+1,0.821,True
独立品牌,2+3,0.479,False
文创艺术,3+3,0.698,False
轻食咖啡,2+1,0.723,True
非遗传承,3+3,0.629,False
趣味互动,4+1,0.635,False
野雀咖啡面包节,2+1,0.663,False
祥符花朝节春日盛宴,3+4,0.574,False
花神走秀,4+1,0.797,True
太子湾郁金香花展,3+1,0.693,False
郁金香,3+1,0.678,False
绿野小森林,3+1,0.551,False
森林集市,2+1,0.619,False
蘑菇屋,2+1,0.57,False
森林画廊,3+1,0.638,False
手工工作坊,2+1,0.651,False
热情,5+2,0.827,True
英歌,3+3,0.93,True
热血,5+3,0.669,False
清明,3+1,0.845,True
假期,5+1,0.759,True
奇趣怪异,5+2,0.776,True
商品,2+3,0.736,True
复古风,3+2,0.827,True
潮流范,5+2,0.797,True
穿搭,5+2,0.898,True
惊喜,5+3,0.624,False
奇幻,5+3,0.865,True
cos,4+1,0.686,False
杀青角色,3+3,0.697,False
亲友,5+2,0.817,True
面包,3+4,0.854,True
春日盛宴,5+3,0.635,False
百花齐放,3+3,0.912,True
文化活动,4+1,0.66,False
治愈系,5+2,0.5,False
森林奇遇,4+1,0.642,False
精神角落,5+2,0.728,True
猫叔咖啡馆,2+1,0.632,False
岩石户外风格,3+2,0.689,False
精品咖啡馆,2+1,0.671,False
视野开阔,5+2,0.666,False
舒缓的音乐,5+2,0.653,False
服务,2+3,0.574,False
水墨拿铁,3+4,0.585,False
深烘豆子,3+4,0.715,False
国风咖啡,2+1,0.752,True
口感,3+4,0.862,True
特调拿铁,2+1,0.58,False
咖啡味,3+4,0.644,False
奶味,3+4,0.672,False
甜度,3+4,0.82,True
清幽,5+2,0.87,True
古木参天,3+1,0.839,True
溪水潺潺,3+1,0.886,True
自然与人文,3+2,0.763,True
静心修行,3+3,0.792,True
佛像,3+2,0.811,True
多元文化元素,3+3,0.755,True
佛教,3+3,0.643,False
中国传统文化,3+3,0.771,True
酒馆,2+1,0.752,True
花符酒肆,2+1,0.9,True
中式恐怖主题,3+3,0.643,False
万圣节活动,4+1,0.931,True
酒水打折,2+1,0.834,True
免费活动酒水赠送,2+3,0.551,False
花神庙,3+2,0.757,True
风水宝地,3+2,0.858,True
花神庇护,3+3,0.704,False
祈求幸运,3+3,0.58,False
祛除水逆,5+3,0.791,True
鼓瑟吹箫,3+3,0.828,True
羡野茶车,2+1,0.928,True
童话世界,5+3,0.7,False
冬日浪漫,5+2,0.604,False
空间设计,2+2,0.406,False
光明,3+3,0.831,True
玫瑰,3+1,0.518,False
霹雳,4+1,0.78,True
十二城巡展,4+1,0.61,False
人类的明天,5+3,0.553,False
特别多样的表达,5+2,0.592,False
旧旧的回忆,5+3,0.671,False
纸上,3+3,0.65,False
静静翻阅,5+2,0.885,True
交叠,3+2,0.695,False
游园,4+1,0.945,True
人潮涌动,5+2,0.765,True
妙遇,5+3,0.882,True
假日,5+1,0.658,False
静谧,5+2,0.651,False
环境优雅,5+2,0.761,True
氛围温馨,5+2,0.749,True
专业泡茶技艺,2+1,0.775,True
细致入微,5+2,0.875,True
世外桃源,5+3,0.732,True
茶品丰富多样,2+1,0.826,True
花香小赤甘,3+4,0.896,True
清香扑鼻,5+2,0.837,True
回味无穷,5+3,0.76,True
味蕾,3+4,0.877,True
享受,5+3,0.853,True
品茶,2+1,0.938,True
静心,5+2,0.715,False
忘却尘嚣,5+2,0.767,True
惬意时光,5+2,0.724,True
强烈推荐,5+3,0.629,False
绿地,3+1,0.669,False
一室户,2+1,0.833,True
好玩儿,5+2,0.832,True
热情如火,5+3,0.855,True
烟花,3+1,0.827,True
期待,5+3,0.774,True
温润如玉,5+2,0.859,True
柔情似水,5+3,0.885,True
喜欢,5+3,0.843,True
艺术空间,2+1,0.683,False
很大,5+2,0.606,False
独立包厢,2+2,0.516,False
散客区,2+3,0.874,True
室外露台,2+2,0.639,False
景观位,2+2,0.623,False
古朴雅致,3+2,0.928,True
质感,5+2,0.797,True
乐器陈设,2+1,0.621,False
艺术氛围,5+2,0.577,False
民乐小酒吧,2+1,0.673,False
live演出,4+1,0.498,False
有茶,2+1,0.947,True
有酒,3+4,0.966,True
有乐,5+3,0.824,True
失望,5+3,0.608,False
俯拍视角,4+1,0.754,True
徽派建筑外墙,3+2,0.76,True
