目标词,匹配词,相似度,是否匹配
古街道,3,0.976,True
文创园,2,1.0,True
厂房结构,2,0.634,False
瞻淇鱼灯,3,0.881,True
祥符老街,3,0.972,True
吉祥里,3,0.924,True
跨年氛围,5,0.76,True
舞动,4,0.659,False
鱼灯,3,0.835,True
相机,2,0.854,True
跨年活动,4,0.82,True
烟火大会,4,0.895,True
天台快闪音乐会,4,0.51,False
主办方会玩,5,0.684,False
小鱼,3,0.931,True
人山人海,5,0.689,False
热闹非凡,5,0.905,True
桥西直街,2,0.887,True
粮仓艺术公园,2,0.683,False
丝联166,2,0.633,False
绿城吉祥里,2,0.703,False
运河天地,2,0.827,True
武林夜市,2,0.835,True
小河直街,3,0.844,True
古色古香,3,0.924,True
商场,2,0.75,True
安静,5,0.795,True
晚风,5,0.772,True
河,3,0.957,True
亭子,2,0.88,True
唱歌,4,0.706,False
和声,5,0.84,True
时间暂停,5,0.591,False
放假,4,0.672,False
小河对面,3,0.932,True
开发,5,0.678,False
不大,5,0.782,True
逛逛,4,0.806,True
不错,5,0.921,True
出圈,5,0.814,True
烟雨江南,3,0.869,True
西湖,3,0.929,True
法喜寺,2,0.8,True
鲜椒鱼蛙,3,0.774,True
杭州博物馆,2,0.917,True
棒老二烈火烤活鱼,3,0.894,True
市井生活,5,0.805,True
艺文社交,2,0.655,False
潮趣大赏,4,0.843,True
乌瓦黛墙,3,0.837,True
老桥粮仓,3,0.762,True
历史建筑,3,0.954,True
河道景观,3,0.898,True
文旅新地标,3,0.77,True
商业消费场景,2,0.688,False
民宿酒店业态,2,0.592,False
文化产业落地,3,0.83,True
康养业态引入,2,0.498,False
杭州市井味道,5,0.823,True
江南格调,3,0.955,True
祥符桥头,3,0.963,True
滚灯舞,3,0.761,True
布置,2,0.832,True
吃饭,5,0.792,True
老城,3,0.911,True
记忆,5,0.582,False
宝藏,5,0.761,True
十三湾巷,3,0.76,True
城市病,5,0.605,False
堵车,5,0.598,False
停车难,5,0.751,True
停车场,2,0.827,True
车位,2,0.767,True
联动,4,0.699,False
升级,5,0.611,False
步行圈,2,0.852,True
地铁站,2,0.568,False
公交站,2,0.509,False
小红车点,2,0.704,False
屋顶农场,2,0.531,False
绿色出行,5,0.65,False
骑车,4,0.55,False
种菜,4,0.783,True
公共空间,2,0.627,False
街廊外摆,2,0.891,True
树梢街区,2,0.767,True
浪漫约会,4,0.532,False
看展,4,0.716,False
露营,4,0.661,False
遛娃,4,0.609,False
滑板,2,0.684,False
老建筑,3,0.95,True
屋顶,2,0.664,False
天空球场,2,0.72,False
打球,4,0.676,False
节假日,4,0.851,True
市集,2,1.0,True
静水厅,2,0.784,True
脱口秀,2,0.876,True
越剧,3,1.0,True
话剧,4,0.818,True
城市客厅,2,0.636,False
魔法,3,0.723,True
保留,5,0.737,True
恢复,5,0.613,False
尺度,5,0.591,False
密度,3,0.602,False
杭州老城,3,0.813,True
小尺度,3,0.649,False
高密度,3,0.648,False
城市肌理,3,0.695,False
老建筑安全,3,0.754,True
新功能,2,0.668,False
廊桥,3,0.955,True
孤岛组团,3,0.614,False
地库,2,0.881,True
青砖黛瓦,3,0.928,True
建筑诗,3,0.847,True
历史风貌,3,0.965,True
现代元素,3,0.684,False
茶酒故事,3,0.861,True
百年祥福桥,3,0.909,True
千年换塘河,3,0.719,False
地堡建筑,2,0.725,True
老茧行,2,0.827,True
老粮仓,2,0.849,True
城市更新,5,0.743,True
业态引入,2,0.68,False
历史文化,3,1.0,True
古老与现代,5,0.797,True
茶馆文化,3,0.721,True
室外露充场,2,0.733,True
新潮的滑板店,2,0.648,False
网红书店,2,0.683,False
时尚元素,5,0.811,True
餐饮美食,3,0.901,True
不同年龄层,5,0.775,True
不同兴趣爱,4,0.536,False
千年运河文化,3,0.771,True
全新姿态,5,0.721,True
京杭大运河,3,0.815,True
钱塘江,3,0.913,True
历史见证者,3,0.809,True
现代都市生活,5,0.829,True
青石板,3,1.0,True
古桥,3,0.98,True
历史故事,3,0.929,True
现代生活节奏,5,0.73,True
漕运文化,3,0.803,True
活化石,3,0.748,True
南宋,3,0.851,True
运河文化,3,0.805,True
古桥河水,3,0.941,True
老宅韵味,3,0.851,True
现代设计元素,3,0.899,True
传统,3,0.79,True
创新,5,0.61,False
市井小巷,3,0.965,True
文艺小店,2,0.793,True
生活美学,5,0.782,True
祥符街道,2,0.937,True
山外事,5,0.929,True
茶馆,2,0.875,True
武夷山岩茶,3,0.838,True
布衣八音,3,0.836,True
非遗传承人,3,0.647,False
乐器,3,0.692,False
发源地,3,0.899,True
茶叶文化,3,0.745,True
管乐,3,0.847,True
打卡机位,2,0.774,True
周末,4,0.552,False
人也不多,5,0.943,True
走走,4,0.71,False
舒服,5,0.822,True
墨绿色,3,0.828,True
复古,3,0.861,True
器物,2,0.748,True
艺术,3,0.803,True
日常,5,0.854,True
治愈,5,0.534,False
文旅高地,3,0.873,True
打卡圣地,5,0.905,True
设计,2,0.779,True
桥,3,0.975,True
有意思,5,0.812,True
好拍,5,0.927,True
美,5,0.947,True
西湖边,3,0.925,True
全季,2,0.566,False
风景,3,0.802,True
山上,3,0.85,True
楼梯,2,0.638,False
南北馆,2,0.893,True
漂亮文物,3,0.8,True
大IP,3,0.86,True
中古店,2,0.828,True
美食,3,1.0,True
连廊,2,0.923,True
动线,2,0.811,True
空间优势,2,0.677,False
空间感受,5,0.639,False
室外体验,4,0.69,False
地铁口联通,2,0.502,False
餐饮品牌,2,0.67,False
体验业态,2,0.589,False
街区,2,0.934,True
文化地标,3,1.0,True
文艺复兴,3,0.795,True
宋代建筑,3,0.857,True
文化符号,3,0.84,True
现代建筑材料,3,0.787,True
传统意蕴,3,0.822,True
特色首席商业街区,2,0.745,True
科肯平葺金属瓦铺装,3,0.753,True
屋面干净利落,3,0.685,False
祥符,3,0.928,True
皇家花木基地,2,0.684,False
大中祥符,3,0.867,True
五里塘河,3,0.921,True
运河,3,0.909,True
商贾云集,3,0.841,True
祥符集镇,3,0.885,True
花木名冠江南,3,0.927,True
花道粮道,3,0.87,True
清末民初,3,0.479,False
祥符茧行旧址,3,0.863,True
五十年代,3,0.608,False
祥符桥粮仓,2,0.822,True
全国文保单位,3,0.551,False
五孔四墩,3,0.808,True
明石暗木,3,0.661,False
南宋时期,3,0.878,True
桥通长28米,2,0.735,True
明嘉靖二十二年1543重修,3,0.488,False
明代石梁桥,3,0.974,True
桥面望柱头,3,0.943,True
雕饰覆莲,3,0.818,True
石狮,3,0.854,True
技法纯熟,3,0.765,True
形象生动,5,0.766,True
保护祥符桥,3,0.869,True
宦塘河,3,0.934,True
吉祥里历史风貌街区,3,0.834,True
烟火气,5,0.939,True
潮流风尚,3,0.9,True
古朴风霜,3,0.962,True
现代意匠,3,0.765,True
永福寺,3,0.932,True
花鸟图卷,3,0.823,True
梅花,3,0.954,True
花鸟卷山河社稷图,3,0.663,False
瑜伽,4,0.613,False
春天,3,0.827,True
换春装,5,0.787,True
大红色,3,0.79,True
古荡地铁口,2,0.688,False
合影,4,0.858,True
杭州电视台,2,0.796,True
citywalk,4,0.753,True
地道的杭州人,5,0.851,True
杭州话,3,0.842,True
新街老街,3,0.84,True
鲜活,5,0.864,True
历史文化街区,3,0.845,True
杭州历史文化,3,0.74,True
清代中晚期,3,0.789,True
民国时期,3,0.774,True
改建,2,0.701,False
建筑风貌,3,0.928,True
传统文化,3,0.921,True
运河生活,5,0.77,True
文化商业街,2,0.684,False
商铺,2,0.859,True
居所,2,0.862,True
小河很想你,5,0.715,False
拷会儿,4,0.726,True
约会,4,0.622,False
酱园喜从天降,3,0.892,True
酱醋油酒茶,3,0.908,True
情系千家,5,0.948,True
酸甜苦辣咸,3,0.89,True
对联,3,0.911,True
酱作老店,2,0.798,True
河埠头,3,0.892,True
临河井,2,0.856,True
孵坊遗址,3,0.736,True
邈墨茶馆,2,0.792,True
种蛋,3,0.527,False
小鸡,3,0.716,False
远近闻名,5,0.776,True
小河驿,2,0.873,True
国际昆曲会客厅,2,0.721,True
昆曲艺术家,3,0.765,True
杨崑老师,3,0.777,True
个人工作室,2,0.619,False
传播窗口,3,0.607,False
唱腔,3,0.885,True
通体舒坦,5,0.727,True
姚宅,2,0.928,True
簪花小院,2,0.831,True
永达木行,2,0.927,True
自行设计,5,0.75,True
建造,2,0.839,True
二层砖木结构住宅建筑,3,0.679,False
传统住宅,3,0.77,True
近代城市住宅,3,0.691,False
转型,5,0.609,False
历史悠久,3,0.878,True
北宋,3,0.816,True
宋真宗,3,0.917,True
年号,3,0.929,True
重镇,3,0.836,True
水陆交通,2,0.67,False
枢纽,2,0.894,True
老杭州,3,0.856,True
茧行粮仓,2,0.755,True
清末民居,3,0.638,False
改造,3,0.68,False
开街,4,0.852,True
历史,3,1.0,True
尊重,5,0.615,False
现代生活方式,5,0.806,True
明代,3,1.0,True
重建,3,0.59,False
重点保护,3,0.684,False
新桥,3,0.918,True
古桥流水,3,0.96,True
江南良辰,5,0.966,True
凌霄花,3,1.0,True
漂亮书店,2,0.718,False
五福里建筑群,3,0.836,True
高档住宅区,2,0.756,True
龙翔桥,2,0.914,True
石库门里弄建筑,3,0.874,True
中西风格结合,3,0.737,True
青砖实砌,3,0.861,True
红木格窗,3,0.678,False
生活物品,2,0.678,False
巷子,3,0.981,True
生活气息,5,1.0,True
绿化植被,3,0.735,True
硬骨凌霄,3,0.782,True
飘香藤,3,0.93,True
葡萄,3,0.72,False
宝藏街区,3,0.828,True
晚饭,5,0.686,False
新店,2,0.709,False
关门,2,0.549,False
周年庆,4,0.663,False
人气,5,0.934,True
喝茶,2,0.946,True
水上巴士,2,0.45,False
武林码头,2,0.786,True
拱宸桥,3,0.969,True
游西湖,4,0.825,True
人少,5,0.881,True
新市古镇,3,0.78,True
水泥装饰,2,0.546,False
文化底蕴,3,1.0,True
独特魅力,5,0.815,True
烦恼,5,0.868,True
丰富多彩,5,0.807,True
几何书店,2,0.597,False
古装美女小姐姐,5,0.701,False
天台音乐会,4,0.524,False
邓丽君,3,0.903,True
歌曲,5,0.796,True
音乐,3,0.817,True
摇曳身姿,5,0.931,True
惬意,5,0.839,True
屏风,3,0.83,True
纹样,3,0.713,False
东方美学,3,0.704,False
现代审美,5,0.741,True
新中式,3,0.83,True
环境优美,5,0.737,True
宋韵,3,0.928,True
生活艺术,5,0.844,True
潮流,5,0.802,True
户外自然,3,0.846,True
国风运动会,4,0.699,False
花神集会,4,0.66,False
游园市集,4,0.882,True
文化创意街区,2,0.709,False
文旅消费,5,0.734,True
新兴聚集地,2,0.699,False
古建筑保护,3,0.849,True
旧街区改造,3,0.888,True
新商业开发,5,0.756,True
复合体,2,0.704,False
城市情结,5,0.778,True
水元素,3,0.59,False
滨水商业街区,2,0.784,True
逛吃逛吃,4,0.82,True
拍照打卡,4,0.931,True
花神活动,4,0.797,True
舟山海鲜面,3,0.865,True
十二花神巡游,4,0.578,False
运气针不戳,5,0.522,False
南派武术,3,0.628,False
地方戏剧,3,0.807,True
梁山好汉,3,0.872,True
英雄故事,3,0.713,False
刚劲有力,5,0.762,True
锣鼓,3,0.897,True
节奏,5,0.785,True
英雄豪迈,5,0.744,True
正义,5,0.506,False
勇气,5,0.611,False
荷尔蒙,5,0.478,False
敲锣打鼓,4,0.619,False
击棍起舞,4,0.772,True
热血贺岁,5,0.815,True
元宵气氛组,5,0.745,True
湖滨,3,0.961,True
西子连廊,2,0.904,True
浙江省文化馆,2,0.921,True
文艺赋美,5,0.751,True
盲盒音乐会,4,0.428,False
元宵节,3,0.859,True
民间舞蹈,3,0.585,False
舞步,4,0.712,False
最强元宵气氛组,5,0.735,True
非遗,3,0.856,True
鱼灯表演,4,0.699,False
圣诞装饰,3,0.603,False
积印章活动,4,0.667,False
灯笼,3,0.869,True
古筝表演,4,0.737,True
雪花,3,0.84,True
鱼灯活动,4,0.685,False
大鱼灯,3,0.845,True
传统江南院落,3,0.83,True
低密,3,0.926,True
空间规划合理,5,0.494,False
文艺店,2,0.771,True
老头油爆虾,3,0.814,True
美食店,2,0.805,True
文化,3,0.953,True
商业,5,0.913,True
古风庭院,3,0.822,True
现代设计,3,0.899,True
祥符长桌宴,3,0.778,True
杭州卤鸭,3,0.884,True
卤汁,3,0.824,True
鸭肉,3,0.964,True
酱香,3,0.964,True
糖醋里脊,3,0.798,True
外酥里嫩,3,0.933,True
酸甜可口,3,0.912,True
猪肉炖粉条,3,0.832,True
鲍鱼烧茄子,3,0.777,True
金汤酸菜鱼,3,0.883,True
精酿啤酒,2,0.792,True
咖啡,2,0.697,False
气泡水,3,0.622,False
繁华街区,3,0.907,True
古色古香屋檐,3,0.86,True
现代商铺,2,0.748,True
地域文化,3,0.857,True
奈雪,3,0.896,True
星巴克,2,0.656,False
觅香火锅,3,0.877,True
灯会,3,0.914,True
猜灯迷,4,0.775,True
舞狮,3,0.746,True
舞龙,4,0.925,True
传统年俗,3,0.735,True
非遗打铁花,3,0.759,True
风火轮,2,0.875,True
火壶,2,0.761,True
盒子灯,2,0.854,True
舞渔灯,4,0.702,False
变脸,3,0.824,True
傩戏,3,0.948,True
表演,4,0.748,True
过大年,4,0.794,True
民间年俗,3,0.838,True
传统活动,4,0.754,True
年味,5,0.891,True
热闹,5,1.0,True
潮汕英歌,3,0.858,True
密锣紧鼓,5,0.902,True
击棍声,3,0.898,True
吆喝声,5,0.899,True
韩信点兵,3,0.834,True
古战场,3,0.735,True
热血震撼,5,0.603,False
压迫感,5,0.75,True
勇士,4,0.771,True
赴汤滔火,5,0.794,True
浴血奋战,4,0.692,False
电影色调,5,0.693,False
羡野美术馆,2,0.837,True
艺术商店,2,0.682,False
展览空间,2,0.731,True
公共活动区,2,0.663,False
用色,3,0.724,True
金属感楼梯,2,0.57,False
布拉格红,3,0.707,False
小房间,2,0.733,True
光影效果,3,0.807,True
清冷,5,0.88,True
雨,3,0.571,False
独享,5,0.78,True
花,3,0.896,True
中心位置,2,0.706,False
诗与远方,5,0.871,True
造型,3,0.843,True
月季长廊,3,0.594,False
古祥符桥,3,0.958,True
祥符桥街区,3,0.901,True
花开吉祥,3,0.816,True
祥符花朝节,3,0.805,True
十二花神巡游盛典,4,0.602,False
柳浪闻莺,3,0.847,True
雷峰塔,3,0.816,True
三潭印月,3,0.624,False
花港观鱼,3,0.938,True
苏堤,3,0.933,True
曲院风荷,3,0.85,True
西泠印社,3,0.896,True
断桥残雪,3,0.959,True
杭州东站,2,0.787,True
杭州西子湖四季酒店,2,0.685,False
杭州法云安缦,2,0.811,True
罗莱夏朵杭州紫萱度假村,2,0.711,False
绿城杭州玫瑰园度假酒店,2,0.727,True
杭州千禧度假酒店,2,0.626,False
浙江西子宾馆,2,0.718,False
杭州西湖国宾馆,2,0.619,False
杭州酒家,2,0.756,True
知味观味庄,2,0.875,True
楼外楼,2,0.724,True
方老大面,3,0.908,True
奎元馆,2,0.912,True
打卡,4,0.884,True
杭州之门,2,0.775,True
春水,3,0.772,True
画船,2,0.816,True
花船快闪,4,0.754,True
汉服,3,0.775,True
花神巡游,4,0.71,False
花朝集章,4,0.745,True
芳菲市集,2,0.873,True
伴手礼,3,0.844,True
同袍,3,0.926,True
社区化,5,0.607,False
看书,2,0.681,False
喝咖啡,2,0.691,False
交流,4,0.736,True
手工制作,3,0.836,True
花艺,3,0.882,True
体验,4,0.662,False
鲜花,3,0.892,True
围炉,2,0.797,True
缤纷水果茶,3,0.816,True
绿植,3,0.795,True
吉祥物,3,0.658,False
跳舞,4,0.529,False
囧囧,5,0.935,True
憨憨,5,0.882,True
可爱,5,0.888,True
英雄之歌,3,0.607,False
英雄豪迈之气,5,0.68,False
燃爆,5,0.77,True
元宵气氛,5,0.762,True
鸟檐,3,0.899,True
闫师傅,2,0.908,True
苏师傅,2,0.874,True
鱼,3,0.987,True
烧鸟,3,0.797,True
聊天,4,0.607,False
板前椅子,2,0.579,False
相册,2,0.85,True
照片,5,0.779,True
磁场,5,0.443,False
纠缠,5,0.845,True
食物,3,0.971,True
杭州天花板,5,0.767,True
幸福,5,0.737,True
分享,5,0.608,False
小朋友,5,0.79,True
露台,2,0.837,True
树,3,0.656,False
风铃,3,0.854,True
春雷,3,0.949,True
毯子,2,0.628,False
银色屋檐,3,0.708,False
朋友,5,0.718,False
日出,3,0.986,True
打铁花,3,0.737,True
傩戏表演,3,0.86,True
血脉贲张,5,0.535,False
热血沸腾,5,0.656,False
视生死置之度外,5,0.588,False
奋勇向前,4,0.7,False
气势,5,0.929,True
热血英歌,3,0.813,True
吉祥里街区,2,0.865,True
两层小楼,2,0.628,False
栅栏,2,0.727,True
旋转楼梯,2,0.688,False
白色矮墙,3,0.963,True
童话,5,0.767,True
精灵,3,0.762,True
古灵精怪,5,0.863,True
橙黄色透明亚克力隔板,2,0.558,False
小物件,2,0.782,True
橙黄色长条瓷砖,3,0.683,False
半墙,3,0.788,True
外文书,2,0.802,True
拱形走廊,2,0.838,True
书架,2,0.743,True
儿童少年文学,3,0.797,True
文创,3,0.806,True
小圆桌,2,0.607,False
吃饱肚子,5,0.795,True
存在即合理,5,0.64,False
剧场,2,0.759,True
小朋友桌椅,2,0.574,False
投影,2,0.665,False
大人的笑声,5,0.902,True
初冬阳光,3,0.78,True
祥睦桥,3,0.967,True
清明假期,4,0.764,True
大娃怪市,3,0.662,False
奇趣怪异的商品,2,0.64,False
复古风潮流范的穿搭,5,0.787,True
微剧本杀,4,0.686,False
集章互动游戏,4,0.537,False
随机舞蹈,4,0.445,False
coser表演,4,0.6,False
凤凰里咖啡生活节市集,2,0.566,False
手作达人,4,0.821,True
独立品牌,2,0.575,False
文创艺术,3,0.802,True
轻食咖啡,2,0.723,True
非遗传承,3,0.629,False
趣味互动,4,0.635,False
野雀咖啡面包节,2,0.691,False
祥符花朝节春日盛宴,3,0.795,True
花神走秀,4,0.797,True
太子湾郁金香花展,3,0.814,True
郁金香,3,0.931,True
绿野小森林,3,0.731,True
森林集市,2,0.619,False
蘑菇屋,2,0.587,False
森林画廊,3,0.732,True
手工工作坊,2,0.651,False
热情,5,0.88,True
英歌,3,0.93,True
热血,5,0.669,False
清明,3,0.916,True
假期,5,0.864,True
奇趣怪异,5,0.776,True
商品,2,0.851,True
复古风,3,0.927,True
潮流范,5,0.797,True
穿搭,5,0.898,True
惊喜,5,0.679,False
奇幻,5,0.865,True
cos,4,0.686,False
杀青角色,3,0.756,True
亲友,5,0.827,True
面包,3,0.854,True
春日盛宴,5,0.78,True
百花齐放,3,0.912,True
文化活动,4,0.66,False
治愈系,5,0.5,False
森林奇遇,4,0.642,False
精神角落,5,0.744,True
猫叔咖啡馆,2,0.632,False
岩石户外风格,3,0.75,True
精品咖啡馆,2,0.671,False
视野开阔,5,0.746,True
舒缓的音乐,5,0.653,False
服务,2,0.627,False
水墨拿铁,3,0.612,False
深烘豆子,3,0.792,True
国风咖啡,2,0.752,True
口感,3,0.883,True
特调拿铁,2,0.58,False
咖啡味,3,0.738,True
奶味,3,0.911,True
甜度,3,0.842,True
清幽,5,0.872,True
古木参天,3,0.883,True
溪水潺潺,3,0.886,True
自然与人文,3,0.802,True
静心修行,3,0.792,True
佛像,3,0.889,True
多元文化元素,3,0.811,True
佛教,3,0.643,False
中国传统文化,3,0.801,True
酒馆,2,0.768,True
花符酒肆,2,0.932,True
中式恐怖主题,3,0.666,False
万圣节活动,4,0.931,True
酒水打折,2,0.888,True
免费活动酒水赠送,2,0.63,False
花神庙,3,0.839,True
风水宝地,3,0.935,True
花神庇护,3,0.816,True
祈求幸运,3,0.685,False
祛除水逆,5,0.791,True
鼓瑟吹箫,3,0.828,True
羡野茶车,2,0.928,True
童话世界,5,0.7,False
冬日浪漫,5,0.721,True
空间设计,2,0.572,False
光明,3,0.858,True
玫瑰,3,1.0,True
霹雳,4,0.78,True
十二城巡展,4,0.61,False
人类的明天,5,0.558,False
特别多样的表达,5,0.62,False
旧旧的回忆,5,0.676,False
纸上,3,0.763,True
静静翻阅,5,0.885,True
交叠,3,0.695,False
游园,4,0.945,True
人潮涌动,5,0.765,True
妙遇,5,0.922,True
假日,5,0.658,False
静谧,5,0.795,True
环境优雅,5,0.761,True
氛围温馨,5,0.749,True
专业泡茶技艺,2,0.775,True
细致入微,5,0.875,True
世外桃源,5,0.763,True
茶品丰富多样,2,0.826,True
花香小赤甘,3,0.929,True
清香扑鼻,5,0.893,True
回味无穷,5,0.767,True
味蕾,3,0.877,True
享受,5,0.855,True
品茶,2,0.938,True
静心,5,0.8,True
忘却尘嚣,5,0.895,True
惬意时光,5,0.738,True
强烈推荐,5,0.65,False
绿地,3,0.778,True
一室户,2,0.833,True
好玩儿,5,0.832,True
热情如火,5,0.855,True
烟花,3,0.934,True
期待,5,0.823,True
温润如玉,5,0.859,True
柔情似水,5,0.905,True
喜欢,5,0.862,True
艺术空间,2,0.683,False
很大,5,0.746,True
独立包厢,2,0.62,False
散客区,2,0.874,True
室外露台,2,0.693,False
景观位,2,0.792,True
古朴雅致,3,0.955,True
质感,5,0.813,True
乐器陈设,2,0.621,False
艺术氛围,5,0.674,False
民乐小酒吧,2,0.673,False
live演出,4,0.498,False
有茶,2,0.947,True
有酒,3,0.966,True
有乐,5,0.853,True
失望,5,0.749,True
俯拍视角,4,0.754,True
徽派建筑外墙,3,0.76,True
杂乱的店铺灯光,5,0.735,True
小鱼灯,3,0.863,True
新年氛围,5,0.532,False
汉服小姐姐,4,0.571,False
观感,5,0.78,True
人巨多,5,0.629,False
地方很小,5,0.646,False
人挤人,5,0.631,False
无人机俯视,4,0.503,False
烟花秀,4,0.869,True
电子烟花秀,4,0.738,True
小心形,5,0.709,False
喷火,4,0.71,False
宣传效果,5,0.708,False
导航,2,0.674,False
地铁2号线,2,0.893,True
地铁10号线,2,0.892,True
重映,4,0.806,True
雅扇,3,0.942,True
非遗技艺,3,0.822,True
杭扇,3,0.959,True
制扇技艺,3,0.77,True
对话,4,0.646,False
地铁,2,0.574,False
游船路线,4,0.814,True
坝子桥,3,0.931,True
船票,2,0.636,False
游船时间,4,0.775,True
Citywalk路线,4,0.675,False
德寿宫,3,0.88,True
胡雪岩故居,3,0.832,True
望仙阁,2,0.905,True
故宫,3,0.799,True
茶世界观,2,0.839,True
茶文化,3,0.774,True
精品文物展,3,0.869,True
明清画卷,3,0.913,True
音乐节,4,0.668,False
烟花瀑布,3,0.77,True
元旦,4,0.778,True
跨年,4,0.787,True
活动合集,4,0.582,False
跨年夜活动,4,0.761,True
回应,5,0.801,True
玩,4,0.689,False
茶,2,0.908,True
龙坞,3,0.921,True
绿城,3,0.736,True
龙坞茶镇,3,0.764,True
九街,2,0.748,True
春日雅集,4,0.787,True
赛博风筝,4,0.625,False
瓶窑老街,3,0.805,True
非遗大戏,3,0.849,True
一周年,5,0.708,False
向上生长,3,0.81,True
焕新,5,0.919,True
祥符美学生活,3,0.783,True
合集,3,0.875,True
蛇舞,4,0.687,False
龙坞绿城,2,0.834,True
美好产业,5,0.725,True
暴涨,5,0.878,True
发卡,2,0.828,True
火了,5,0.828,True
太湖,3,0.953,True
紫砂,3,0.577,False
大佛,3,0.889,True
园林,3,1.0,True
历史韵味,3,0.971,True
银行,2,0.511,False
小学,2,0.677,False
自己,5,0.832,True
重生,5,0.711,False
卖盖饭,3,0.796,True
麻辣烫,3,0.867,True
炒面,3,0.937,True
爽文,5,0.965,True
外卖,2,0.898,True
强国有我,5,0.761,True
龙腾,3,0.948,True
新玩法,4,0.627,False
百人长桌宴,3,0.574,False
迎重阳,4,0.837,True
向上,5,0.725,True
生长,3,1.0,True
美学,5,0.79,True
生活,5,0.896,True
建筑风格,3,0.912,True
生活环境,5,0.812,True
文化氛围,5,0.802,True
携手,5,0.825,True
再迈步,4,0.69,False
共富,5,0.745,True
奔未来,5,0.67,False
菊花精品展,3,0.819,True
菊花艺术展,3,0.832,True
老街,3,1.0,True
重阳,3,0.895,True
引领,5,0.778,True
风尚,5,0.835,True
共话,5,0.756,True
百日庆典,4,0.751,True
五云山,3,0.834,True
千年银杏,3,0.71,False
老市井,5,0.802,True
新烟火,5,0.867,True
新范本,3,0.752,True
小桥流水,3,1.0,True
